player_positions,overall,potential,age,pace,shooting,passing,dribbling,defending,physic,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed
RB,68,77,20,85,35,54,64,63,67,11,13,14,12,6,
ST,68,72,24,65,66,45,62,25,79,15,11,9,11,12,
GK,68,68,33,,,,,,,68,65,67,69,68,59
GK,68,74,24,,,,,,,69,66,51,63,73,25
"RM, LM",68,80,19,88,61,59,70,24,49,9,9,15,11,10,
"CDM, CM",68,78,21,54,50,59,62,64,72,5,13,6,14,14,
CB,68,75,24,58,35,47,58,68,74,6,6,12,11,5,
GK,68,70,27,,,,,,,69,63,62,68,72,41
ST,68,75,22,83,67,53,64,27,71,7,12,14,15,6,
CB,68,73,26,69,36,51,60,67,75,6,11,12,10,12,
"CDM, CM, CB",68,75,24,63,43,61,62,66,69,10,14,9,12,7,
"CM, CAM, LM",68,78,20,66,59,65,69,58,68,9,12,9,9,13,
"RW, LW, ST",68,82,20,84,59,58,72,31,68,6,11,10,14,9,
"CAM, CM, CDM",68,72,24,68,66,70,71,51,70,8,11,9,11,11,
"LM, RM",68,83,19,91,62,61,67,47,53,5,10,13,8,14,
"CAM, CM",68,85,17,74,55,62,75,59,67,8,14,8,10,6,
"CDM, CM",68,81,19,76,57,61,67,65,66,8,8,9,8,10,
RM,68,82,19,79,59,62,73,26,42,10,7,7,10,13,
"RM, CAM",68,74,23,75,57,65,73,38,51,9,12,11,12,11,
"RB, RM",68,77,22,74,45,56,65,63,63,15,11,7,11,6,
RB,68,82,20,91,27,58,64,58,70,10,8,9,14,13,
"RM, LM",68,80,21,85,54,62,69,52,60,15,7,12,12,12,
"LB, LM, LWB",68,77,20,83,50,56,67,63,71,10,12,8,7,10,
CB,68,77,21,66,50,63,60,70,67,9,6,6,10,10,
RM,68,77,23,93,64,56,70,35,67,12,11,12,11,13,
CB,68,74,24,66,31,48,48,68,71,11,11,11,12,11,
"LB, LM",68,74,23,76,44,59,57,64,63,16,16,9,11,7,
"RM, ST",68,73,24,74,61,63,69,22,66,13,16,11,6,10,
ST,68,68,28,71,64,49,64,34,77,13,11,10,16,14,
"CAM, RM, LM",68,69,27,73,66,69,70,36,60,12,12,13,8,14,
"CAM, CF, CM",68,68,28,47,65,67,72,45,69,10,7,12,12,14,
CB,68,69,28,69,43,54,53,70,68,14,13,10,7,12,
"CB, LB",68,75,23,68,39,54,54,67,73,8,10,10,11,15,
"RB, RM, CM",68,77,21,71,44,60,66,64,65,6,10,14,14,11,
"ST, RM",68,73,24,72,66,50,64,41,69,10,7,15,8,7,
"CAM, RW, LW",68,68,29,65,68,64,71,45,62,8,8,7,9,12,
"CB, RB",68,74,22,59,27,48,57,68,70,14,8,11,12,14,
"ST, LM, RM",68,78,21,80,67,56,69,23,56,13,8,12,11,14,
"LB, LM, LWB",68,78,21,76,50,63,69,62,52,9,10,13,9,8,
CAM,68,71,25,70,67,64,69,26,56,14,8,9,14,11,
"CDM, CM",68,76,22,62,61,62,63,66,67,7,14,16,16,16,
GK,68,70,28,,,,,,,72,67,65,66,63,53
"RW, RM, ST",68,77,22,77,64,62,71,46,52,9,11,9,13,13,
"CF, CAM, LM",68,74,22,78,65,63,67,52,65,5,11,6,6,7,
"CDM, CM",68,75,22,66,64,65,63,66,68,11,13,5,8,9,
"LB, LM",68,68,29,76,58,64,64,64,68,15,12,7,10,16,
"LM, LW",68,71,25,82,64,60,69,32,59,7,6,11,15,9,
"LM, RM, CF",68,74,23,77,64,64,67,31,62,14,5,12,8,5,
RM,68,85,18,81,63,57,74,25,43,13,15,8,11,6,
"CM, CDM",68,75,22,67,59,68,68,60,75,8,10,5,8,6,
"RB, RM",68,75,22,73,40,57,62,65,69,8,15,11,14,12,
"RW, LW",68,77,22,76,60,60,73,29,44,12,12,14,11,9,
"CB, RB",68,73,24,70,39,54,57,67,75,12,11,6,14,5,
LWB,68,77,20,74,50,58,70,65,68,14,12,11,10,14,
ST,68,81,19,67,67,46,64,35,73,14,13,6,13,13,
ST,68,73,25,67,66,53,62,41,73,6,15,11,11,13,
"ST, CF",68,77,20,77,73,61,72,38,65,12,9,9,5,7,
CDM,68,84,18,72,45,62,67,63,58,7,8,11,12,8,
"CM, CAM",68,79,22,84,66,70,73,52,62,15,14,12,5,8,
"RB, RM",68,68,29,75,50,63,63,64,72,6,14,12,14,6,
ST,68,78,21,66,70,45,63,24,66,9,11,13,14,12,
CM,68,82,19,68,67,72,70,58,63,9,12,10,6,7,
"RM, RW, RWB",68,71,24,92,61,59,70,43,57,7,12,6,6,8,
ST,68,80,21,69,68,45,62,19,78,11,9,15,11,13,
"CM, CAM",68,83,19,71,60,66,66,55,67,14,14,10,12,7,
ST,68,74,21,74,65,56,62,34,75,8,11,7,8,11,
"CAM, CF, RW",68,75,23,75,65,66,73,49,66,8,5,11,6,13,
RB,68,77,23,73,37,51,62,66,71,7,9,13,12,13,
"CB, CDM",68,79,21,65,34,52,51,70,66,7,9,9,7,9,
"RM, LM",68,84,18,89,60,58,76,24,42,11,13,5,15,11,
"ST, CF",68,71,26,73,68,58,67,36,65,10,12,7,13,14,
CB,68,76,22,60,26,51,51,70,69,9,7,11,13,7,
CB,68,79,20,68,30,57,65,66,75,8,10,10,12,6,
ST,68,77,22,71,67,48,64,21,65,8,10,12,14,8,
"CDM, CM, CB",68,77,22,67,46,62,67,68,72,12,9,12,12,6,
CB,68,77,21,65,28,52,58,67,72,9,9,11,6,14,
ST,68,79,18,82,69,51,69,20,56,13,11,15,7,13,
"RWB, RB",68,75,21,76,50,56,68,62,66,8,11,9,9,14,
CB,68,83,18,67,26,46,47,70,71,10,8,11,13,5,
CB,68,84,20,63,35,51,59,66,78,12,12,12,6,6,
"CB, RB",68,81,19,65,43,54,58,68,69,10,6,15,11,9,
"CF, ST",68,68,27,86,63,59,66,30,79,10,9,11,13,13,
"ST, LM, RM",68,76,22,83,71,64,69,32,65,7,9,11,10,9,
"ST, RM",68,79,20,76,67,59,69,26,70,12,8,6,13,11,
"ST, RW, RM",68,76,23,76,70,64,70,24,55,6,10,11,13,8,
"RB, RM, RWB",68,68,29,74,49,60,64,64,70,8,9,12,6,10,
CB,68,71,24,74,34,57,57,68,73,10,5,5,7,9,
"LB, LM",68,85,18,77,43,56,64,64,61,7,11,12,9,13,
"CAM, CDM, ST",68,71,26,73,65,69,68,52,65,10,12,12,8,14,
"CB, LB",68,81,20,56,28,54,61,70,64,8,13,12,12,9,
"CDM, CM",68,83,19,71,53,61,66,66,74,7,12,12,9,10,
"RW, LW, ST",68,83,19,82,56,62,73,41,46,5,9,6,6,5,
RB,68,74,23,83,43,51,63,63,68,5,10,13,7,15,
"RB, CB, RWB",68,81,18,85,46,61,69,63,61,11,14,9,10,8,
"RM, LM",68,71,25,80,64,64,72,38,50,8,10,10,13,6,
"ST, LM",68,81,19,78,67,53,71,21,56,9,12,14,13,12,
"LB, LM",68,81,19,69,48,49,66,65,65,9,11,5,6,11,
"CM, CDM",68,79,20,65,60,67,68,64,66,5,8,7,14,7,
ST,68,77,21,69,68,51,64,24,68,6,13,10,5,5,
GK,68,71,26,,,,,,,69,70,68,71,71,21
"CDM, CM",68,76,23,67,42,56,61,66,77,12,11,8,11,14,
"LB, LM",68,76,23,81,46,62,67,59,70,9,10,15,10,14,
"RB, CB",68,81,19,78,39,60,65,63,71,7,12,12,10,11,
CB,68,75,23,56,28,39,44,67,79,7,8,13,11,6,
"CB, CDM",68,75,24,65,30,50,57,66,79,9,7,12,9,14,
"LB, CB",68,76,22,67,36,57,61,68,66,11,12,5,12,13,
ST,68,75,23,77,70,54,66,28,65,14,14,11,15,6,
"LB, CB",68,78,21,65,45,56,61,71,58,11,8,13,13,13,
"CAM, CM",68,71,26,59,66,67,69,39,64,7,14,13,9,7,
"ST, CF, CAM",68,68,28,67,69,53,67,21,63,6,9,5,9,8,
ST,68,82,18,63,68,52,63,36,80,6,8,14,13,12,
"CM, CAM",68,79,18,68,53,64,73,62,55,13,10,8,8,10,
"CB, CDM",68,80,18,63,34,51,55,69,67,15,12,8,8,10,
RM,68,69,26,72,60,67,64,37,51,6,8,6,12,7,
RB,68,78,20,73,37,63,66,64,62,10,10,6,7,15,
"RB, CB",68,68,28,63,35,53,44,70,75,14,11,13,9,5,
"CM, CDM",68,79,19,69,56,67,71,59,62,8,7,10,14,15,
"LM, LW, CM",68,69,26,73,52,59,72,53,46,15,6,10,13,12,
"CM, CDM",68,68,34,59,58,61,64,61,65,10,10,5,7,13,
"CDM, CM",68,78,22,61,50,62,61,66,70,7,9,10,14,11,
"CDM, CM",68,68,33,57,57,71,62,64,62,11,12,11,12,10,
ST,68,86,18,71,67,60,67,42,73,10,8,5,14,6,
"CM, CDM",68,74,21,65,51,66,68,58,76,12,15,11,13,13,
"ST, RW, LW",68,78,20,73,67,57,71,22,63,9,15,15,6,6,
ST,68,68,27,68,70,58,62,20,70,6,9,11,10,9,
"CM, CAM",68,83,20,67,59,70,73,54,58,7,10,8,10,13,
"CF, LM, RM",68,79,20,81,64,65,74,27,57,10,10,11,11,6,
ST,68,77,20,82,71,56,67,30,56,10,14,11,8,15,
"LM, ST",68,76,22,80,61,56,81,25,54,14,15,9,6,5,
CAM,68,68,33,67,67,68,67,48,65,10,10,11,14,5,
"ST, CAM",68,82,19,74,70,57,69,28,59,7,8,13,9,14,
CB,68,72,26,82,29,41,51,69,72,6,8,8,7,6,
LB,68,77,20,78,44,60,65,62,64,10,9,10,10,5,
"LB, CB",68,78,22,68,36,54,53,69,71,7,13,10,15,9,
"LM, LW",68,85,18,78,59,63,67,35,59,13,8,11,15,10,
"ST, LW, RW",68,72,23,91,65,57,72,36,65,14,8,8,10,7,
ST,68,72,25,77,67,53,67,25,68,10,6,10,7,12,
ST,68,73,24,77,67,50,69,21,66,5,10,6,10,10,
ST,68,68,30,73,66,53,65,30,61,6,10,7,14,7,
LW,68,68,27,86,62,58,74,31,45,7,8,12,9,9,
GK,68,75,23,,,,,,,72,64,68,69,72,37
CDM,68,71,27,57,46,62,62,66,78,15,14,13,8,7,
GK,68,73,26,,,,,,,69,66,65,69,68,29
CAM,68,76,21,76,62,65,75,36,60,6,14,11,9,5,
GK,68,70,26,,,,,,,69,67,69,70,71,30
"LW, ST",68,68,26,81,67,62,71,37,63,12,9,14,8,12,
"CM, LM, RM",68,71,26,72,66,66,69,55,71,7,9,14,12,7,
"RW, CF",68,81,18,82,61,62,72,31,60,11,15,11,6,9,
"LM, RM, CAM",68,81,20,76,65,67,66,52,60,15,13,13,13,15,
CB,68,77,22,58,32,49,50,69,68,11,7,8,14,11,
ST,68,80,20,70,68,55,66,33,71,12,13,13,11,12,
RW,68,78,21,77,67,58,71,32,67,14,12,7,5,15,
"CB, LB",68,84,20,72,43,56,60,67,73,7,13,13,11,7,
CB,67,67,39,33,52,59,61,68,68,15,8,15,9,11,
CB,67,67,37,30,57,49,44,69,74,13,8,13,14,6,
CB,67,67,40,32,43,48,48,68,74,15,13,10,10,6,
CB,67,67,37,42,59,64,53,66,74,12,8,13,7,7,
GK,67,67,36,,,,,,,68,68,62,66,65,36
CB,67,67,41,30,35,46,50,67,71,9,8,15,16,9,
"CAM, CM",67,67,39,44,64,73,68,55,56,7,10,15,9,7,
GK,67,67,35,,,,,,,68,64,67,62,70,36
"CDM, CM",67,67,34,55,48,61,62,63,76,13,5,12,12,14,
GK,67,67,36,,,,,,,66,64,65,67,68,26
"CAM, CM",67,67,37,63,69,65,66,49,52,6,16,13,12,16,
CB,67,67,32,55,50,57,56,67,69,10,13,12,8,10,
"CM, CDM",67,67,35,34,68,71,62,63,78,8,7,9,6,6,
CB,67,67,34,37,22,55,60,67,78,8,15,12,11,10,
GK,67,67,35,,,,,,,66,67,65,70,64,35
"CDM, CM",67,67,40,35,64,67,66,67,59,13,16,6,10,14,
GK,67,67,29,,,,,,,65,63,61,64,77,46
CB,67,67,34,50,31,58,58,67,71,13,15,11,13,11,
GK,67,67,36,,,,,,,68,65,64,67,69,32
CB,67,67,37,31,42,59,58,66,69,13,12,15,15,7,
"LWB, LB",67,67,33,64,51,59,66,64,71,14,6,8,11,9,
"CDM, CM",67,67,34,31,55,61,57,66,68,7,9,12,15,14,
ST,67,67,34,63,67,51,63,44,75,13,16,16,16,13,
ST,67,67,33,55,67,59,62,31,79,11,6,8,11,15,
ST,67,67,36,47,67,64,65,39,69,16,10,14,6,11,
ST,67,67,33,67,66,61,66,37,67,11,15,9,9,16,
CB,67,67,33,32,37,47,47,66,76,10,12,7,13,15,
GK,67,67,33,,,,,,,68,62,66,66,68,45
"CM, CAM, LM",67,67,34,64,65,67,71,62,66,6,16,13,13,15,
"CB, LB",67,67,35,61,56,61,58,66,74,16,7,16,8,7,
GK,67,67,35,,,,,,,66,65,61,69,65,37
LB,67,67,35,64,55,62,65,65,71,16,10,8,12,6,
GK,67,67,32,,,,,,,64,65,60,66,69,30
"CDM, CM",67,67,34,58,53,67,67,63,66,9,12,11,12,8,
"CM, CDM, CAM",67,67,33,65,68,64,67,63,74,13,6,9,12,10,
GK,67,67,32,,,,,,,67,66,62,66,69,44
LB,67,67,36,58,53,61,65,67,67,7,7,12,12,16,
"LB, RB",67,67,34,65,46,62,63,66,73,13,14,11,15,16,
"ST, LW, CF",67,67,37,49,70,64,67,43,58,10,10,10,14,14,
CB,67,67,33,61,45,57,59,66,75,9,7,9,7,8,
"RM, LM, ST",67,67,35,68,59,63,67,40,69,8,7,6,9,14,
"RM, CAM",67,67,35,55,64,66,76,53,61,8,7,16,13,9,
"CDM, CM",67,67,36,44,68,72,69,60,62,15,11,9,10,9,
"LB, LWB, LM",67,67,36,79,43,60,67,59,70,10,14,10,6,7,
"LM, CF, ST",67,67,33,83,69,57,67,42,70,16,12,15,7,6,
GK,67,67,32,,,,,,,67,60,53,73,72,52
LB,67,67,34,72,45,63,65,61,60,12,11,12,6,12,
"LB, LWB, CB",67,67,32,68,56,63,66,64,65,14,14,14,13,16,
"CB, RB",67,67,34,66,55,64,68,71,61,14,8,8,9,7,
"CB, CDM",67,67,33,54,26,53,37,69,69,12,13,15,12,7,
ST,67,67,31,83,66,46,64,33,74,11,15,9,15,14,
CB,67,67,32,43,40,50,48,69,76,15,7,16,15,8,
CM,67,67,32,65,63,68,71,43,69,6,4,14,4,7,
"CDM, CM",67,67,34,52,62,67,63,66,71,12,14,8,9,8,
"RM, LM",67,67,33,79,59,66,64,46,65,14,6,7,15,13,
GK,67,67,35,,,,,,,66,64,69,66,69,30
CB,67,67,31,50,41,48,41,67,77,16,10,13,9,14,
CB,67,67,33,52,54,53,56,66,78,14,9,10,10,14,
"LM, ST, RM",67,67,32,70,63,63,67,40,60,14,11,12,14,15,
RB,67,67,33,72,52,62,64,63,71,8,9,10,11,15,
CB,67,67,36,39,50,56,52,67,67,15,15,15,15,14,
"LWB, LB",67,67,31,69,45,61,63,65,66,16,10,7,13,13,
GK,67,67,32,,,,,,,67,64,65,70,68,40
CB,67,67,33,42,42,48,51,63,76,16,12,6,6,16,
GK,67,67,32,,,,,,,67,66,63,67,67,44
RM,67,67,31,68,66,66,68,45,66,13,9,13,13,16,
CB,67,67,33,45,21,38,40,67,71,16,10,10,9,14,
"CM, CAM, CDM",67,67,32,54,68,69,66,54,77,12,13,12,11,12,
LB,67,67,32,68,51,62,68,62,71,11,7,10,9,6,
"LWB, LB",67,67,33,72,50,61,62,61,75,7,10,7,14,8,
ST,67,67,31,54,66,56,65,38,69,6,16,10,14,12,
"CDM, CM",67,67,29,59,59,68,66,62,74,13,14,11,14,12,
"ST, RW, CAM",67,67,32,59,67,66,66,42,60,8,12,13,11,10,
ST,67,67,32,34,71,59,63,43,72,6,7,11,11,9,
"RB, CB",67,67,34,71,48,61,63,61,71,15,11,7,10,14,
"CM, RM",67,67,32,62,65,69,66,60,69,7,8,10,6,9,
"CDM, CM",67,67,34,32,63,63,59,63,79,12,7,9,11,14,
CB,67,67,31,48,27,51,48,67,70,9,6,14,16,8,
"CM, CDM",67,67,30,52,67,69,67,59,70,11,16,15,14,13,
"RB, LB",67,67,32,69,61,66,64,63,64,8,13,8,10,8,
GK,67,67,35,,,,,,,70,62,63,62,69,32
CB,67,67,30,75,56,61,65,66,78,5,11,7,11,6,
CB,67,67,31,67,24,41,53,71,66,16,7,14,12,13,
"LB, RB, CB",67,67,31,52,52,68,62,64,74,14,9,14,9,16,
"LM, CM",67,67,30,73,64,64,67,47,65,10,14,11,11,6,
CB,67,67,33,30,31,47,45,67,77,15,7,7,11,9,
GK,67,67,30,,,,,,,65,69,64,69,66,38
ST,67,67,31,76,68,57,64,31,59,9,10,16,10,16,
ST,67,67,34,60,67,56,64,23,75,8,6,15,11,6,
"RM, RB",67,67,31,74,59,67,67,48,58,15,15,11,9,15,
LB,67,67,33,64,55,65,68,64,70,7,15,7,10,15,
"ST, LM",67,67,32,65,66,65,67,54,64,8,8,14,7,10,
LB,67,67,30,78,45,62,65,61,54,12,15,16,12,11,
GK,67,67,35,,,,,,,67,65,70,65,66,36
ST,67,67,30,68,67,58,68,31,60,7,16,12,7,14,
"LM, LW, ST",67,67,31,68,65,64,69,49,59,16,16,16,11,15,
"RM, ST, CAM",67,67,34,75,65,62,68,48,66,14,15,8,9,14,
GK,67,67,32,,,,,,,71,65,63,67,65,31
"CM, CDM",67,67,31,47,63,68,66,63,69,7,6,14,10,15,
ST,67,67,33,39,70,58,63,38,74,9,8,7,12,12,
"ST, LW",67,67,31,48,69,63,69,33,65,12,12,16,13,12,
"ST, CAM, RM",67,67,31,73,66,62,68,49,76,6,13,12,16,16,
"ST, RW",67,67,30,75,64,62,68,28,67,6,5,6,8,5,
"RM, LM",67,67,33,77,59,62,70,46,60,9,11,6,16,13,
CB,67,67,31,65,48,56,59,66,79,12,11,12,12,13,
"CM, CDM",67,67,30,52,54,67,65,66,71,4,10,13,6,13,
"CDM, CM",67,67,30,47,43,66,71,63,57,15,9,6,9,13,
"LM, RM, ST",67,67,30,93,60,56,70,31,61,6,11,6,12,6,
CB,67,67,30,66,24,52,39,65,74,9,13,7,8,7,
ST,67,67,29,58,65,54,60,30,78,15,11,14,8,11,
"CDM, CM",67,68,28,70,53,61,63,64,77,10,11,9,16,9,
"LM, CAM",67,67,30,65,58,67,71,34,58,10,14,8,12,14,
ST,67,67,30,63,67,56,63,32,65,11,9,16,14,15,
"RM, CM",67,67,30,91,61,58,70,40,68,8,16,12,7,12,
CB,67,67,30,63,30,39,41,63,88,8,15,8,8,13,
ST,67,67,28,41,70,61,64,30,68,8,16,6,10,12,
GK,67,68,30,,,,,,,67,65,65,66,67,32
"CAM, ST, CM",67,67,31,77,65,62,71,32,61,6,14,6,12,16,
CB,67,68,28,36,40,47,51,69,64,8,14,12,7,8,
"LM, RM, CF",67,67,26,73,61,62,69,42,61,9,9,9,11,10,
RWB,67,67,30,72,57,62,66,63,73,11,6,8,12,7,
CB,67,67,30,58,39,55,53,65,75,6,13,10,6,14,
CB,67,67,32,33,48,61,49,69,65,11,12,6,11,8,
ST,67,67,31,57,69,60,61,38,77,15,16,7,9,11,
"CB, CDM",67,67,31,69,39,60,61,67,71,14,14,16,13,10,
"CM, RM",67,67,35,50,48,65,66,61,84,9,12,15,11,6,
"ST, RW",67,67,29,59,69,57,66,30,60,9,10,6,14,7,
GK,67,69,28,,,,,,,68,62,59,66,70,40
"LM, LW, ST",67,67,31,71,69,65,61,61,73,6,16,13,16,7,
GK,67,67,32,,,,,,,67,65,63,68,70,50
RB,67,67,30,70,51,60,63,64,69,12,6,5,9,10,
CB,67,67,29,45,48,54,46,66,75,15,13,14,12,10,
"CM, CDM",67,67,30,63,58,67,71,59,65,11,7,11,7,15,
"LM, LW, RM",67,67,31,84,58,59,68,51,54,15,9,15,11,10,
"LB, CB",67,67,30,71,61,62,66,64,69,10,12,9,10,8,
GK,67,67,31,,,,,,,67,66,61,65,67,54
"LB, LM, RM",67,67,30,74,65,65,69,62,65,11,13,7,16,15,
"CAM, CM, RW",67,67,33,63,68,63,68,43,67,13,7,6,12,16,
"CAM, LM",67,67,32,81,67,62,67,32,62,16,8,12,14,9,
CB,67,68,29,77,25,46,51,65,76,12,14,14,13,7,
"LM, CM",67,67,30,60,63,67,66,52,65,7,12,15,7,13,
CB,67,67,34,41,54,55,42,67,70,14,15,13,8,12,
"RM, LM",67,67,29,71,63,63,66,38,67,14,6,12,12,15,
RB,67,67,31,77,47,66,68,61,73,14,12,7,6,8,
CAM,67,67,27,66,59,65,72,44,49,8,16,11,10,9,
CB,67,67,29,67,39,54,54,65,72,7,12,10,10,6,
CB,67,67,30,69,45,53,55,66,71,8,12,6,11,10,
"RB, RM",67,67,32,79,55,57,63,63,78,15,16,16,8,11,
"CM, CDM",67,67,30,64,49,65,68,63,68,9,12,13,11,11,
"CAM, CM, RM",67,67,32,72,66,67,67,49,68,14,7,15,9,14,
CB,67,67,32,61,35,57,46,65,78,7,6,10,16,13,
"CM, RW",67,67,30,71,60,69,67,63,68,7,13,15,8,13,
"CM, CAM",67,67,31,45,61,69,68,61,57,16,8,14,12,11,
"CAM, ST",67,67,35,66,68,67,69,35,63,15,9,16,6,11,
"CB, RB",67,68,29,65,41,54,58,65,76,9,9,5,8,9,
"ST, CAM",67,67,30,80,67,60,65,42,77,10,14,8,14,9,
LB,67,67,28,78,34,56,64,61,67,7,15,14,9,16,
"RB, RWB",67,67,30,73,45,59,64,64,71,11,15,14,9,13,
ST,67,67,28,62,68,66,66,34,70,11,14,6,14,6,
LB,67,67,30,71,46,62,66,61,67,6,8,10,11,12,
"CDM, CM",67,67,29,59,64,65,65,65,73,9,10,7,7,7,
GK,67,67,30,,,,,,,67,64,63,64,69,35
CB,67,68,29,31,44,58,53,67,76,9,9,15,15,11,
"CAM, RM",67,67,31,81,63,65,69,33,58,6,15,15,14,14,
GK,67,69,28,,,,,,,68,67,62,65,66,58
"RM, RW, LM",67,67,30,89,58,60,70,35,47,15,15,12,7,7,
CB,67,67,31,49,30,47,52,67,72,15,6,14,12,11,
GK,67,67,30,,,,,,,67,66,61,67,69,45
CB,67,67,29,47,52,58,54,69,74,7,15,8,12,12,
"CDM, CM",67,67,29,40,57,62,66,63,74,10,14,13,10,15,
GK,67,70,28,,,,,,,66,63,70,64,69,48
CB,67,69,27,66,29,51,58,66,72,14,9,9,10,7,
"RB, RWB",67,67,29,68,56,61,65,63,65,15,14,11,11,14,
"ST, RM",67,67,28,82,67,55,68,26,65,9,11,8,13,6,
"CB, RB",67,68,29,66,33,52,51,66,77,15,15,8,10,10,
RM,67,67,28,79,64,61,70,46,61,6,9,7,10,15,
CB,67,67,29,39,32,48,46,67,71,16,15,11,7,15,
"CM, CDM, CAM",67,67,29,62,60,68,66,46,61,11,11,9,8,12,
ST,67,67,30,66,68,56,67,33,75,11,12,9,14,13,
"ST, LM",67,67,30,72,69,60,66,41,68,7,16,7,9,14,
"LM, CAM",67,67,27,65,64,68,69,47,58,12,11,12,10,9,
ST,67,67,29,69,65,52,62,41,80,12,13,13,15,12,
CAM,67,67,28,74,60,64,69,55,61,7,11,12,8,15,
RB,67,67,30,73,43,60,65,63,68,6,9,10,6,7,
GK,67,67,32,,,,,,,69,61,66,65,69,43
ST,67,67,27,61,66,53,62,38,69,14,10,10,10,7,
"ST, CAM",67,67,28,72,65,56,64,42,73,14,7,15,14,10,
CB,67,68,28,54,36,45,51,67,75,11,11,7,10,12,
ST,67,67,31,55,67,55,62,35,81,10,7,12,10,10,
"CDM, CB",67,67,30,51,55,68,63,66,73,14,9,14,10,11,
"LB, LWB, LM",67,67,31,69,46,64,70,62,62,12,8,14,9,14,
ST,67,67,27,59,67,62,66,52,72,13,12,7,8,6,
"CB, LB",67,67,32,51,44,55,53,67,75,8,9,8,11,8,
"RM, LM, ST",67,67,32,80,64,59,67,42,69,13,13,9,16,13,
ST,67,67,28,75,68,57,67,27,67,12,8,15,16,12,
"CM, CDM",67,67,29,65,57,70,68,57,50,11,10,11,9,11,
LB,67,67,28,71,52,63,62,62,77,14,10,14,9,9,
"CM, LM, RM",67,67,31,69,67,65,69,59,69,15,12,9,16,15,
"CAM, CM, LM",67,67,29,67,63,72,68,42,65,15,12,13,13,9,
"LW, CAM, RW",67,67,30,70,61,64,69,31,38,14,8,13,13,9,
"CM, CDM, CAM",67,67,28,70,65,62,66,65,76,8,12,15,6,10,
"CAM, LM",67,67,28,82,62,66,71,33,58,7,13,15,12,7,
RW,67,67,28,88,55,56,71,28,45,9,8,15,12,16,
"CB, RB",67,68,27,71,37,58,63,65,74,8,13,9,15,13,
"LW, LM",67,67,33,73,68,61,67,37,72,15,9,10,8,14,
ST,67,67,29,83,66,53,66,41,60,14,12,14,11,16,
CB,67,67,34,43,29,42,40,67,71,13,10,12,10,15,
"LB, CB",67,67,27,68,40,66,63,64,74,15,11,15,8,14,
"RM, RW",67,67,29,85,61,60,66,38,66,15,13,11,13,10,
LB,67,68,27,67,39,57,63,66,68,13,10,10,6,10,
CDM,67,67,30,72,55,68,72,61,68,11,9,11,8,13,
"CDM, CM, RB",67,68,28,61,58,66,62,65,68,7,12,7,9,13,
"CDM, CB",67,67,30,54,54,58,59,66,74,9,9,15,7,13,
ST,67,67,32,33,68,49,51,36,79,14,14,8,11,9,
"CB, CDM",67,67,30,64,34,53,52,64,75,9,16,7,11,11,
"RB, CB",67,67,29,74,41,54,67,62,74,11,9,15,10,10,
"RB, RWB",67,67,27,84,50,54,63,61,79,10,9,8,11,14,
"CB, RB",67,67,31,54,50,57,51,66,71,8,7,8,9,6,
GK,67,69,29,,,,,,,66,62,70,69,73,31
"LM, RWB",67,68,26,86,59,60,69,50,65,15,15,10,15,10,
GK,67,68,29,,,,,,,65,67,61,64,68,43
GK,67,70,28,,,,,,,67,63,64,67,74,52
"RB, CB, RWB",67,67,32,68,43,61,64,62,73,13,9,16,7,14,
CB,67,67,30,35,39,45,45,66,77,11,13,15,8,10,
GK,67,71,27,,,,,,,72,65,67,65,70,36
"ST, CF",67,67,29,60,66,54,65,32,77,7,12,11,15,12,
ST,67,67,32,79,64,54,67,28,63,13,14,14,16,12,
"CB, RB",67,67,29,66,51,55,54,68,70,14,8,16,9,7,
"RM, LM, RW",67,67,30,83,61,61,71,36,56,8,11,7,7,15,
"RB, CB",67,67,27,74,49,56,63,63,71,15,10,10,11,7,
CB,67,68,29,63,35,53,56,67,71,8,15,8,7,7,
GK,67,67,30,,,,,,,67,63,60,67,69,29
CB,67,68,28,72,38,46,54,66,72,7,10,7,11,15,
CM,67,67,30,76,62,64,70,58,65,14,12,15,11,14,
CB,67,68,28,55,26,45,47,68,68,6,11,16,11,12,
"LM, RM",67,67,28,80,61,63,67,52,56,10,10,10,11,7,
"LB, RB",67,67,29,67,44,58,65,64,69,16,15,15,7,12,
GK,67,67,32,,,,,,,62,66,68,71,64,46
"LM, CAM",67,67,29,82,62,59,67,52,61,15,14,12,13,11,
CDM,67,67,27,58,45,61,64,65,71,8,8,15,15,6,
RB,67,67,29,78,40,58,60,61,68,6,14,16,15,15,
"CM, CDM, CAM",67,70,26,66,63,63,67,62,69,7,12,8,13,11,
"RM, LM",67,67,26,89,60,60,72,29,58,14,10,6,7,15,
"CDM, CM",67,67,28,60,60,62,67,64,74,9,5,10,9,5,
ST,67,68,27,67,67,54,66,31,74,13,6,14,15,7,
CB,67,71,26,68,33,50,56,65,75,7,11,15,8,8,
"CDM, CM",67,67,27,65,53,60,66,66,69,13,7,8,10,13,
"CM, CDM",67,68,26,67,56,68,72,56,64,13,15,12,9,14,
"RM, RW",67,67,30,89,62,62,68,42,62,9,15,16,9,10,
"CM, CDM",67,68,27,70,63,65,71,57,70,16,11,12,9,14,
CB,67,67,31,39,47,39,42,67,73,7,8,9,14,9,
